idx,i_test,signal,prob,regime,atr,stop_pct,tp_pct,position_value,profit,cost,capital_after,ev
53,53,short,0.26674692492531465,0,0.009757142857142877,0.008775513875076787,0.026326541625230362,36.186157,0.141899,0.050661,72.463553,1.933012
54,54,short,0.43348961106728817,0,0.009514285714285729,0.008597841760982595,0.025793525282947784,36.231776,0.265209,0.050724,72.678037,1.266042
55,55,short,0.08911963788521701,-1,0.009750000000000005,0.008925220384287955,0.026775661152863867,36.339019,0.047236,0.050875,72.674399,2.643521
56,56,short,0.273830068834508,-1,0.009214285714285715,0.00848859567042139,0.02546578701126417,36.337199,-0.291571,0.050872,72.331956,1.90468
57,57,short,0.29388480828122193,-1,0.008749999999999989,0.008028038497885175,0.024084115493655526,36.165978,-0.164914,0.050632,72.11641,1.824461
58,58,short,0.25012894714051337,-1,0.008385714285714283,0.007571751048049014,0.022715253144147043,36.058205,0.143582,0.050481,72.20951,1.999484
59,59,short,0.36365410272732185,-1,0.008392857142857122,0.007640358258024308,0.022921074774072923,36.104755,-3.610475,0.050547,68.548488,1.545384
60,60,short,0.07718489421722682,-1,0.008628571428571414,0.007908937230012571,0.023726811690037715,34.274244,-3.427424,0.047984,65.073079,2.69126
61,61,short,0.0942302824089608,-1,0.008478571428571415,0.007748648719220814,0.023245946157662442,32.53654,-0.225989,0.045551,64.801539,2.623079
62,62,short,0.06754197700514479,-1,0.008899999999999972,0.008128596218832745,0.024385788656498236,32.400769,-0.23378,0.045361,64.522397,2.729832
63,63,short,0.06476024204460237,-1,0.008407142857142851,0.0076214478031192846,0.022864343409357855,32.261199,0.075748,0.045166,64.552979,2.740959
64,64,short,0.058747452477257295,-1,0.008278571428571422,0.00746570542220206,0.02239711626660618,32.27649,0.268951,0.045187,64.776744,2.76501
65,65,short,0.20789991291599433,-1,0.008285714285714294,0.0074983839689722115,0.022495151906916633,32.388372,0.199313,0.045344,64.930713,2.1684
66,66,short,0.1911853857609351,-1,0.008500000000000016,0.007714648756580157,0.02314394626974047,32.465356,0.099889,0.045451,64.98515,2.235258
67,67,short,0.23379255678474473,-1,0.008571428571428594,0.007772423441629121,0.02331727032488736,32.492575,-0.171184,0.04549,64.768476,2.06483
68,68,short,0.31515341464087493,-1,0.00832142857142859,0.007561498020380364,0.02268449406114109,32.384238,-3.238424,0.045338,61.484715,1.739386
69,69,long,0.5752104250919718,0,0.008314285714285734,0.007560916040054685,0.022682748120164055,30.742357,0.194579,0.043039,61.636254,1.300842
72,72,short,0.173786652522067,-1,0.008535714285714282,0.007699474373958634,0.0230984231218759,30.818127,0.500658,0.043145,62.093767,2.304853
73,73,short,0.22637704360061425,0,0.008228571428571443,0.007375254484692519,0.022125763454077556,31.046884,0.686936,0.043466,62.737237,2.094492
