idx,signal,prob,fwd,position_value,profit,cost,capital_after,stop_pct,tp_pct
538,long,0.6644042773403493,-0.0021964201086362,5.164888073200862,-0.01134426402283365,0.007230843302481206,10.311201039076408,0.01,0.04
540,short,0.2650761320542843,-0.005991797813359,5.155600519538204,0.030891315919521538,0.007217840727353486,10.334874514268577,0.01,0.04
542,long,0.605397731642494,0.0019218214085387,5.167437257134289,0.009930891548041176,0.007234412159988005,10.33757099365663,0.01,0.04
543,long,0.8425087003124039,-2.756668841369742e-05,5.168785496828315,-0.00014248629926830438,0.007236299695559641,10.330192207661803,0.01,0.04
544,long,0.8710355031854923,-0.0020319596918041,5.165096103830901,-0.010495267087278796,0.007231134545363262,10.312465806029161,0.01,0.04
545,long,0.853934205406992,-0.0010737885462554,5.156232903014581,-0.005536703833082288,0.007218726064220414,10.29971037613186,0.01,0.04
546,long,0.7182387817188173,-0.0033999852973609,5.14985518806593,-0.017509431922961914,0.007209797263292302,10.274991146945604,0.01,0.04
547,long,0.7815133120824069,-0.0002671801439086,5.137495573472802,-0.0013726368066502587,0.007192493802861923,10.266426016336093,0.01,0.04
548,long,0.6888285614516854,-0.0047315858622051,5.133213008168046,-0.024288238097135238,0.007186498211435265,10.234951280027522,0.01,0.04
549,long,0.7959902185484559,-6.45434930938596e-05,5.117475640013761,-0.00033029975362922293,0.007164465896019266,10.227456514377872,0.01,0.04
550,long,0.6007133599900181,-0.0030595694485402,5.113728257188936,-0.01564580674383199,0.007159219560064511,10.204651488073976,0.01,0.04
551,long,0.8078385746457284,0.0035540211210397,5.102325744036988,0.01813377346073206,0.007143256041651783,10.215642005493057,0.01,0.04
552,long,0.831267566203685,-0.0055142143166709,5.107821002746529,-0.02816561970033722,0.007150949403845141,10.180325436388875,0.01,0.04
553,long,0.780457226440092,-0.0070345720096137,5.0901627181944376,-0.03580711618178978,0.007126227805472212,10.137392092401614,0.01,0.04
555,long,0.6092303957830802,-0.0012239334625262,5.068696046200807,-0.006203746702319413,0.007096174464681131,10.124092171234613,0.01,0.04
556,long,0.6096070859978522,0.0033141250616743,5.062046085617307,0.016776253795694605,0.007086864519864229,10.133781560510442,0.01,0.04
558,long,0.8852463109007445,-3.713434276858806e-05,5.066890780255221,-0.00018815565900499602,0.007093647092357311,10.12649975775908,0.01,0.04
559,long,0.9375607817802397,-0.0064578983994433,5.06324987887954,-0.03269795328879766,0.007088549830431356,10.08671325463985,0.01,0.04
560,long,0.9062379699845089,-0.005165969523562,5.043356627319925,-0.026053826633189166,0.007060699278247895,10.053598728728412,0.01,0.04
561,long,0.8833773309177223,6.498751311356522e-05,5.026799364364206,0.00032667918961088013,0.007037519110109888,10.046887888807913,0.01,0.04
562,long,0.9260315187606172,0.0062570625426088,5.023443944403956,0.031432002939425,0.00703282152216554,10.071287070225173,0.01,0.04
563,long,0.924385445502851,0.0048571748210023,5.0356435351125866,0.024459000986291866,0.007049900949157621,10.088696170262308,0.01,0.04
564,long,0.9393848335434641,0.0033048644634236,5.044348085131154,0.016670886727688836,0.007062087319183616,10.098304969670812,0.01,0.04
565,long,0.7632987223635675,0.0040464412662761,5.049152484835406,0.020431098974358495,0.007068813478769568,10.1116672551664,0.01,0.04
566,long,0.8645908458158152,0.0040543674908382,5.0558336275832,0.020498207498759892,0.007078167078616481,10.125087295586544,0.01,0.04
567,long,0.8006562622163992,0.0010363077834116,5.062543647793272,0.005246353386069121,0.007087561106910581,10.123246087865702,0.01,0.04
568,long,0.6303976377342239,0.0029948698987846,5.061623043932851,0.015158902493268976,0.007086272261505992,10.131318718097464,0.01,0.04
569,long,0.7040624839745069,0.0019866570567907,5.065659359048732,0.010063727912952018,0.007091923102668226,10.134290522907747,0.01,0.04
571,long,0.7306345899555123,-0.004202416389424,5.067145261453874,-0.021294254294325916,0.007094003366035423,10.105902265247387,0.01,0.04
572,long,0.6884154073855131,-0.0006363141732066,5.0529511326236936,-0.0032152644222087985,0.0070741315856731705,10.095612869239504,0.01,0.04
573,long,0.7067814950765682,0.0016424149035312,5.047806434619752,0.00829059251836017,0.007066929008467653,10.096836532749396,0.01,0.04
574,long,0.7555062798776719,0.0045718304905925,5.048418266374698,0.023080512559475973,0.007067785572924578,10.112849259735947,0.01,0.04
575,long,0.7916949486785007,0.0057027904916581,5.056424629867974,0.028835730300996905,0.007078994481815164,10.134605995555129,0.01,0.04
576,long,0.7290195596807022,0.008521026207913,5.067302997777564,0.043178621647498736,0.00709422419688859,10.170690393005739,0.01,0.04
577,long,0.7658358304497743,0.007683307691599,5.085345196502869,0.03907227186272652,0.007119483275104017,10.202643181593361,0.01,0.04
578,long,0.8250574468918955,0.00248655790652,5.1013215907966805,0.01268473153529667,0.0071418502271153525,10.208186062901541,0.01,0.04
579,long,0.7695224088254804,-0.0020551698940446,5.104093031450771,-0.010489778334640461,0.007145730244031079,10.190550554322868,0.01,0.04
580,short,0.39143027570904576,0.0008959508506961,5.095275277161434,-0.004565116219103594,0.007133385388026008,10.178852052715738,0.01,0.04
583,short,0.35452947335026014,-0.0069237022625342,5.089426026357869,0.03523767049369442,0.007125196436901017,10.206964526772532,0.01,0.04
585,short,0.32869205961393627,0.0031413901110508,5.103482263386266,-0.01603202871412477,0.007144875168740773,10.183787622889666,0.01,0.04
586,short,0.27117228985120223,-0.0010669511869832,5.091893811444833,0.005432802146113475,0.007128651336022767,10.182091773699756,0.01,0.04
588,long,0.6743440554496596,-0.007801411945683,5.091045886849878,-0.03971734619769094,0.00712746424158983,10.135246963260476,0.01,0.04
590,long,0.6188091632716799,0.0019250347061546,5.067623481630238,0.009755351079862216,0.007094672874282334,10.137907641466056,0.01,0.04
591,long,0.8498534863713432,-0.0043282053175094,5.068953820733028,-0.02193947288110628,0.0070965353490262395,10.108871633235923,0.01,0.04
592,long,0.6680829875496613,-0.0038406144983196,5.0544358166179615,-0.01941213947812881,0.007076210143265147,10.082383283614528,0.01,0.04
593,long,0.6281053324622909,-0.0076668698849047,5.041191641807264,-0.03865016038260539,0.00705766829853017,10.036675454933391,0.01,0.04
594,long,0.7257102618533499,-0.0014459171378255,5.018337727466696,-0.007256100523540369,0.007025672818453375,10.022393681591398,0.01,0.04
595,long,0.7124633160893842,0.0040222428174235,5.011196840795699,0.020156250499585835,0.007015675577113978,10.03553425651387,0.01,0.04
596,long,0.6944750736090565,0.0088803663849276,5.017767128256935,0.044559610533167586,0.007024873979559709,10.073068993067476,0.01,0.04
597,long,0.8139437231206423,0.0058106076076261,5.036534496533738,0.029265325661630228,0.007051148295147233,10.095283170433959,0.01,0.04
598,short,0.3870805705820705,0.0023630623811546,5.047641585216979,-0.011927891943577816,0.007066698219303771,10.076288580271076,0.01,0.04
599,short,0.291328541506468,0.0017807384990127,5.038144290135538,-0.008971617501025361,0.007053402006189753,10.060263560763861,0.01,0.04
602,short,0.33305290408075067,-0.0201703891319364,5.0301317803819305,0.10145971539522358,0.007042184492534702,10.15468109166655,0.01,0.04
603,long,0.6149388538148697,-0.0111236258365989,5.077340545833275,-0.5077340545833275,0.007108276764166584,9.639838760319057,0.01,0.04
