idx,prob,signal,stop_pct,tp_pct,risk_pct_used,position_value,profit,cost,capital_after
324,0.6777450707333657,long,0.014239273094396753,0.05695709237758701,0.01,42.933709304985726,0.6274693345774552,0.06010719302698002,86.43478075152193
329,0.5929073556222789,long,0.01483289745953492,0.05933158983813968,0.005,29.136175513692272,0.02098043491167876,0.06050434652606535,86.39525683990755
330,0.5671110088697495,long,0.015453794634558255,0.06181517853823302,0.005,27.952764639018756,0.20966911796564622,0.060476679787935285,86.54444927808525
333,0.6231011996849088,long,0.014473848951915246,0.05789539580766098,0.005,29.896833097264462,0.16852221064097728,0.06058111449465968,86.65239037423157
335,0.6698275847371576,long,0.014034813692964079,0.056139254771856315,0.01,43.326195187115786,0.2702365538838942,0.0606566732619621,86.8619702548535
338,0.5619519309279947,long,0.012938843252349005,0.05175537300939602,0.005,33.56635850700332,-0.14373666452194897,0.060803379178397454,86.65743021115316
340,0.6741906079062718,long,0.012187163378753413,0.04874865351501365,0.01,43.32871510557658,0.35771408805307936,0.06066020114780721,86.95448409805843
341,0.7803418792520319,long,0.012241656032520741,0.048966624130082965,0.01,43.477242049029215,0.7435052811957548,0.060868138868640904,87.63712124038554
342,0.7485188582143891,long,0.011356092003692708,0.04542436801477083,0.01,43.81856062019277,0.3273488877167254,0.06134598486826988,87.903124143234
344,0.7285626088854615,long,0.010734948501479052,0.04293979400591621,0.01,43.951562071617,-0.29527338050955926,0.0615321869002638,87.54631857582417
345,0.7000493341538483,long,0.01125336314127145,0.0450134525650858,0.01,43.77315928791209,-0.14377318263065575,0.06128242300307692,87.34126297019044
346,0.5659628212083253,long,0.01168388968723971,0.04673555874895884,0.005,37.376792022257014,0.14197659276392213,0.061138884079133315,87.42210067887524
347,0.5627889065807905,long,0.011710952098810463,0.046843808395241854,0.005,37.3249330802724,0.05954025148395548,0.06119547047521266,87.42044545988398
348,0.5704346451844718,long,0.011382382052128045,0.04552952820851218,0.005,38.40164785346486,0.312684459787765,0.061194311821918784,87.67193560784982
349,0.5866411691013188,long,0.011045675519359767,0.044182702077439066,0.005,39.68609047685093,0.025331239134287413,0.06137035492549488,87.6358964920586
350,0.6468172563059392,long,0.010314498933901961,0.041257995735607844,0.005,42.48189711087888,0.20104283306932408,0.061345127544441026,87.77559419758349
351,0.7596594721694204,long,0.010193225342037874,0.040772901368151496,0.01,43.887797098791744,-0.07590088142871171,0.061442915938308446,87.63825040021646
352,0.6548630531304671,long,0.010497730959193765,0.04199092383677506,0.01,43.81912520010823,0.1605213174145936,0.06134677528015153,87.7374249423509
353,0.7567901782858222,long,0.011151009316770228,0.04460403726708091,0.01,43.86871247117545,-0.25828499190457044,0.06141619745964563,87.41772375298667
354,0.7952652898818333,long,0.011403304178814428,0.04561321671525771,0.01,43.70886187649334,-0.0959414473842311,0.061192406627090676,87.26058989897535
355,0.6617760319036243,long,0.011381618200212737,0.045526472800850946,0.01,43.63029494948768,0.18459885097567905,0.06108241292928275,87.38410633702175
356,0.6332731480395095,long,0.011425968109339433,0.04570387243735773,0.005,38.2392570593625,0.12821910339722747,0.061168874435915226,87.45115656598306
357,0.6367567657855656,long,0.011164447780421189,0.044657791121684755,0.005,39.16501661611242,0.059099272400864586,0.06121580959618814,87.44904002878773
358,0.7109600858306855,long,0.011103117629888325,0.0444124705195533,0.01,43.72452001439387,-0.22454050746049908,0.06121432802015142,87.16328519330708
